event_id,date,date_precision,beach_id,lat,lon,species_group,species,count_class,stings,source_type,source_url,confidence,notes
2012-01-02-flic_en_flac-1,2012-01-02,day,flic_en_flac,,,unknown,,unknown,1,coastguard,https://lexpress.mu/s/article/alerte-aux-m%C3%A9duses-%C3%A0-flic-en-flac,high,NCG alert early Mon 2 Jan 2012 after one (minor) sting case; large coastguard deployment on the beach. Also linfo.re alerte-aux-meduses-sur-la-cote-ouest-de-l-ile-maurice.
2012-09-30-mont_choisy-1,2012-09-30,month,mont_choisy,,,unknown,,unknown,,coastguard,https://www.linfo.re/ocean-indien/ile-maurice-rodrigues/alerte-aux-meduses-a-maurice,low,"'End of September' alert in Mont Choisy lagoon, cited retrospectively in an Aug 2013 article; exact day unknown."
2012-12-26-belle_mare-1,2012-12-26,day,belle_mare,,,unknown,,unknown,,coastguard,https://www.linfo.re/ocean-indien/ile-maurice-rodrigues/alerte-aux-meduses-a-maurice,low,"Alert on 26 Dec in Belle Mare lagoon, cited retrospectively in an Aug 2013 article; year 2012 inferred from context."
2013-08-01-flic_en_flac-1,2013-08-01,day,flic_en_flac,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/quatre-plages-publiques-en-alerte-face-la-presence-de-meduses,high,"NCG intensified patrols from the morning of Thu 1 Aug 2013; four public beaches on alert; simultaneous MMS strong-swell warning with waves over 4 m. Also Tripadvisor thread k6724417 (posted 1 Aug 2013), linfo.re alerte-aux-meduses-a-maurice, business.mega.mu 2013/08/02."
2013-08-01-grand_baie-1,2013-08-01,day,grand_baie,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/quatre-plages-publiques-en-alerte-face-la-presence-de-meduses,high,"NCG intensified patrols from the morning of Thu 1 Aug 2013; four public beaches on alert; simultaneous MMS strong-swell warning with waves over 4 m. Also Tripadvisor thread k6724417 (posted 1 Aug 2013), linfo.re alerte-aux-meduses-a-maurice, business.mega.mu 2013/08/02."
2013-08-01-pereybere-1,2013-08-01,day,pereybere,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/quatre-plages-publiques-en-alerte-face-la-presence-de-meduses,high,"NCG intensified patrols from the morning of Thu 1 Aug 2013; four public beaches on alert; simultaneous MMS strong-swell warning with waves over 4 m. Also Tripadvisor thread k6724417 (posted 1 Aug 2013), linfo.re alerte-aux-meduses-a-maurice, business.mega.mu 2013/08/02."
2013-08-01-la_cuvette-1,2013-08-01,day,la_cuvette,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/quatre-plages-publiques-en-alerte-face-la-presence-de-meduses,high,"NCG intensified patrols from the morning of Thu 1 Aug 2013; four public beaches on alert; simultaneous MMS strong-swell warning with waves over 4 m. Also Tripadvisor thread k6724417 (posted 1 Aug 2013), linfo.re alerte-aux-meduses-a-maurice, business.mega.mu 2013/08/02."
2015-04-05-mont_choisy-1,2015-04-05,day,mont_choisy,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/260750/alerte-aux-meduses-dans-lagon-mont-choisy,high,"NCG on alert Sun 5 Apr 2015, swimming advised against; bad weather with no improvement forecast by Vacoas. Also allafrica.com/stories/201504050117.html and zinfos-moris a23909."
2016-01-04-baie_du_tombeau-1,2016-01-04,day,baie_du_tombeau,,,unknown,,mass,32,hospital,https://lexpress.mu/article/273811/alerte-aux-meduses-dans-nord-32-personnes-lhopital,high,"Night of Mon 4 Jan 2016: 32 people treated at SSRN hospital after stings; police on beaches, swimming banned until further notice. Beaches named in companion article lexpress 273870: Baie-du-Tombeau, Le Goulet, Bain-Boeuf. Also linfo.re 684581 (about 30 victims) and Tripadvisor thread k9139892."
2016-01-04-le_goulet-1,2016-01-04,day,le_goulet,,,unknown,,mass,,hospital,https://lexpress.mu/article/273870/baie-tombeau-goulet-bain-boeuf-alerte-aux-meduses,high,Same episode as 2016-01-04-baie_du_tombeau-1 (32 hospitalised in the north).
2016-01-04-bain_boeuf-1,2016-01-04,day,bain_boeuf,,,unknown,,mass,,hospital,https://lexpress.mu/article/273870/baie-tombeau-goulet-bain-boeuf-alerte-aux-meduses,high,Same episode as 2016-01-04-baie_du_tombeau-1 (32 hospitalised in the north).
2016-01-05-trou_aux_biches-1,2016-01-05,week,trou_aux_biches,,,unknown,,unknown,,press,https://defimedia.info/presence-de-meduses-dans-le-nord-baignade-interdite-jusqua-nouvel-ordre,low,"Swimming banned at Trou-aux-Biches and Mon Choisy 'until further notice'; article undated in snippet, placed in the Jan 2016 north episode by content; verify on page."
2016-01-05-mont_choisy-1,2016-01-05,week,mont_choisy,,,unknown,,unknown,,press,https://defimedia.info/presence-de-meduses-dans-le-nord-baignade-interdite-jusqua-nouvel-ordre,low,"Swimming banned at Trou-aux-Biches and Mon Choisy 'until further notice'; article undated in snippet, placed in the Jan 2016 north episode by content; verify on page."
2016-02-09-belle_mare-1,2016-02-09,day,belle_mare,,,unknown,,unknown,,coastguard,https://www.lexpress.mu/article/275541/mauvais-temps-meduses-inondations-et-derapages,high,"Police reported jellyfish in Belle Mare lagoon on 9 Feb 2016 during bad weather (heavy rain, flooding in the north)."
2016-06-03-flic_en_flac-1,2016-06-03,day,flic_en_flac,,,unknown,,unknown,,coastguard,,low,Jellyfish spotted in Flic-en-Flac lagoon Fri 3 Jun 2016 per search snippet; source URL not captured (defimedia or lexpress); verify.
2016-08-23-trou_deau_douce-1,2016-08-23,day,trou_deau_douce,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/288087/trou-deau-douce-alerte-aux-meduses,high,NCG alert Tue 23 Aug 2016 for the lagoon of Le Maho public beach; swimming advised against.
2018-01-12-tamarin-1,2018-01-12,day,tamarin,,,unknown,,unknown,,coastguard,https://www.lemauricien.com/article/tamarin-des-meduses-dans-le-lagon/,medium,NCG reported jellyfish in Tamarin lagoon; article dated 12 Jan 2018; sighting assumed same day.
2018-02-13-mont_choisy-1,2018-02-13,day,mont_choisy,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/326442/mont-choisy-gare-aux-meduses,high,SMF and NCG patrol detected jellyfish Tue 13 Feb 2018.
2018-02-15-le_morne-1,2018-02-15,day,le_morne,,,unknown,,unknown,,coastguard,https://www.lexpress.mu/article/326535/morne-meduses-dans-lagon,high,"Jellyfish north and south of Le Morne Thu 15 Feb 2018; NCG recommended extreme caution. Defimedia 'Alerte aux méduses au Morne et à Mont-Choisy, des baigneurs piqués' (undated) reports swimmers stung at Le Morne taken to hospital, probably this episode."
2018-10-17-trou_deau_douce-1,2018-10-17,day,trou_deau_douce,,,unknown,,unknown,,coastguard,https://www.lemauricien.com/actualites/presence-de-meduses-dans-le-lagon-de-trou-deau-douce/238068/,medium,"NCG detected jellyfish at Trou d'Eau Douce, Ile aux Cerfs and near Anahita Wed 17 Oct; year 2018 inferred from weekday and article id sequence."
2018-10-17-ile_aux_cerfs-1,2018-10-17,day,ile_aux_cerfs,,,unknown,,unknown,,coastguard,https://www.lemauricien.com/actualites/presence-de-meduses-dans-le-lagon-de-trou-deau-douce/238068/,medium,"NCG detected jellyfish at Trou d'Eau Douce, Ile aux Cerfs and near Anahita Wed 17 Oct; year 2018 inferred from weekday and article id sequence."
2019-01-01-roches_noires-1,2019-01-01,day,roches_noires,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://www.lemauricien.com/featured/au-nord-presence-de-meduses-boites-considerees-comme-extremement-dangereuses/253466/,high,"South African tourist raised the alarm about 08:30 Tue 1 Jan 2019; NCG confirmed box jellyfish at Roches Noires and Poste Lafayette. Zinfos-moris a3562: several people stung at Roches Noires, none hospitalised. Press attributes the influx to high heat and heavy rain."
2019-01-01-poste_lafayette-1,2019-01-01,day,poste_lafayette,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://lexpress.mu/article/345307/poste-lafayette-alerte-aux-meduses,high,Same episode as 2019-01-01-roches_noires-1.
2019-01-03-trou_aux_biches-1,2019-01-03,week,trou_aux_biches,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-grand_baie-1,2019-01-03,week,grand_baie,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-bain_boeuf-1,2019-01-03,week,bain_boeuf,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-mont_choisy-1,2019-01-03,week,mont_choisy,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
